UnixTimeStamp,TimeStamp,X,Y,Z
1215696984579,2008-07-10 13:36:24,,,,
1215697060356,2008-07-10 13:37:40,301,348,224
1215697061377,2008-07-10 13:37:41,298,317,196
1215697062377,2008-07-10 13:37:42,314,324,212
1215697063377,2008-07-10 13:37:43,318,320,208
1215697064387,2008-07-10 13:37:44,321,320,221
1215697065387,2008-07-10 13:37:45,322,329,232
1215697066387,2008-07-10 13:37:46,324,321,242
1215697067387,2008-07-10 13:37:47,317,326,259
1215697068387,2008-07-10 13:37:48,313,320,269
1215697069393,2008-07-10 13:37:49,312,306,274
1215697070393,2008-07-10 13:37:50,310,333,247
1215697071393,2008-07-10 13:37:51,324,315,237
1215697072403,2008-07-10 13:37:52,322,324,247
1215697073403,2008-07-10 13:37:53,329,298,249
1215697074418,2008-07-10 13:37:54,328,289,245
1215697075419,2008-07-10 13:37:55,328,286,233
1215697076419,2008-07-10 13:37:56,328,288,234
1215697077434,2008-07-10 13:37:57,328,289,234
1215697078434,2008-07-10 13:37:58,328,289,234
1215697079434,2008-07-10 13:37:59,328,288,233
1215697080434,2008-07-10 13:38:00,328,289,233
1215697081548,2008-07-10 13:38:01,328,289,234
1215697082564,2008-07-10 13:38:02,328,289,234
1215697083574,2008-07-10 13:38:03,328,289,235
1215697084594,2008-07-10 13:38:04,328,289,234
1215697085610,2008-07-10 13:38:05,328,289,234
1215697086622,2008-07-10 13:38:06,328,289,234
1215697087637,2008-07-10 13:38:07,328,289,234
1215697088653,2008-07-10 13:38:08,328,288,234
1215697089654,2008-07-10 13:38:09,328,289,235
1215697090669,2008-07-10 13:38:10,328,287,238
1215697091669,2008-07-10 13:38:11,326,287,246
1215697092685,2008-07-10 13:38:12,324,286,243
1215697093699,2008-07-10 13:38:13,325,286,241
1215697094715,2008-07-10 13:38:14,326,283,238
1215697095717,2008-07-10 13:38:15,327,284,241
1215697096733,2008-07-10 13:38:16,327,283,235
1215697097747,2008-07-10 13:38:17,325,285,240
1215697098763,2008-07-10 13:38:18,327,284,239
1215697099778,2008-07-10 13:38:19,327,284,238
1215697100794,2008-07-10 13:38:20,327,285,238
1215697101810,2008-07-10 13:38:21,327,285,238
1215697102824,2008-07-10 13:38:22,,,,
1215697103825,2008-07-10 13:38:23,328,284,240
1215697104825,2008-07-10 13:38:24,324,281,244
1215697105856,2008-07-10 13:38:25,326,282,242
1215697106857,2008-07-10 13:38:26,326,284,240
1215697107871,2008-07-10 13:38:27,326,283,242
1215697108887,2008-07-10 13:38:28,327,284,243
1215697109888,2008-07-10 13:38:29,327,285,244
1215697110888,2008-07-10 13:38:30,327,285,244
1215697111903,2008-07-10 13:38:31,327,285,244
1215697112904,2008-07-10 13:38:32,326,286,245
1215697113922,2008-07-10 13:38:33,336,289,232
1215697114922,2008-07-10 13:38:34,296,306,178
1215697115950,2008-07-10 13:38:35,301,307,184
1215697116950,2008-07-10 13:38:36,307,301,192
1215697117950,2008-07-10 13:38:37,310,302,190
1215697118966,2008-07-10 13:38:38,,,,
1215697119982,2008-07-10 13:38:39,301,316,182
1215697120997,2008-07-10 13:38:40,296,323,189
1215697122012,2008-07-10 13:38:42,287,337,199
1215697123028,2008-07-10 13:38:43,296,324,190
1215697124029,2008-07-10 13:38:44,292,322,197
1215697125043,2008-07-10 13:38:45,270,332,189
1215697126059,2008-07-10 13:38:46,279,313,180
1215697127075,2008-07-10 13:38:47,294,308,185
1215697128075,2008-07-10 13:38:48,279,296,184
1215697129091,2008-07-10 13:38:49,273,296,175
1215697130107,2008-07-10 13:38:50,273,296,175
1215697131107,2008-07-10 13:38:51,273,296,175
1215697132125,2008-07-10 13:38:52,273,296,175
1215697133125,2008-07-10 13:38:53,273,296,175
1215697134138,2008-07-10 13:38:54,273,296,175
1215697135154,2008-07-10 13:38:55,273,296,175
1215697136169,2008-07-10 13:38:56,273,296,175
1215697137169,2008-07-10 13:38:57,273,296,175
1215697138169,2008-07-10 13:38:58,273,296,175
1215697139169,2008-07-10 13:38:59,273,296,176
1215697140169,2008-07-10 13:39:00,273,296,175
1215697141184,2008-07-10 13:39:01,273,296,176
1215697142184,2008-07-10 13:39:02,273,297,176
1215697143200,2008-07-10 13:39:03,273,296,176
1215697144215,2008-07-10 13:39:04,273,296,177
1215697145216,2008-07-10 13:39:05,280,296,177
1215697146232,2008-07-10 13:39:06,287,282,179
1215697147247,2008-07-10 13:39:07,298,288,182
1215697148263,2008-07-10 13:39:08,302,306,186
1215697149279,2008-07-10 13:39:09,307,291,189
1215697150279,2008-07-10 13:39:10,309,287,190
1215697151279,2008-07-10 13:39:11,310,288,187
1215697152279,2008-07-10 13:39:12,296,296,184
1215697153279,2008-07-10 13:39:13,310,288,195
1215697154294,2008-07-10 13:39:14,309,288,192
1215697155294,2008-07-10 13:39:15,,,,
1215697156294,2008-07-10 13:39:16,,,,
1215697157314,2008-07-10 13:39:17,294,329,195
1215697158314,2008-07-10 13:39:18,286,334,195
1215697159325,2008-07-10 13:39:19,288,330,191
1215697160325,2008-07-10 13:39:20,305,331,200
1215697161325,2008-07-10 13:39:21,278,351,231
1215697162345,2008-07-10 13:39:22,316,297,203
1215697163357,2008-07-10 13:39:23,323,273,222
1215697164357,2008-07-10 13:39:24,325,288,239
1215697165357,2008-07-10 13:39:25,284,269,251
1215697166404,2008-07-10 13:39:26,310,289,191
1215697167404,2008-07-10 13:39:27,312,290,190
1215697168419,2008-07-10 13:39:28,302,283,215
1215697169435,2008-07-10 13:39:29,254,281,281
1215697170435,2008-07-10 13:39:30,272,261,249
1215697171450,2008-07-10 13:39:31,304,263,194
1215697172475,2008-07-10 13:39:32,309,258,218
1215697173497,2008-07-10 13:39:33,244,282,249
1215697174497,2008-07-10 13:39:34,218,312,242
1215697175497,2008-07-10 13:39:35,224,313,224
1215697176513,2008-07-10 13:39:36,230,310,222
1215697177532,2008-07-10 13:39:37,220,297,259
1215697178544,2008-07-10 13:39:38,222,309,258
1215697179545,2008-07-10 13:39:39,228,313,256
1215697180545,2008-07-10 13:39:40,259,297,178
1215697181560,2008-07-10 13:39:41,275,298,176
1215697182560,2008-07-10 13:39:42,275,298,176
1215697183560,2008-07-10 13:39:43,275,299,176
1215697184560,2008-07-10 13:39:44,276,299,171
1215697185591,2008-07-10 13:39:45,290,333,208
1215697186591,2008-07-10 13:39:46,272,332,193
1215697187592,2008-07-10 13:39:47,222,319,220
1215697188607,2008-07-10 13:39:48,238,310,199
1215697189622,2008-07-10 13:39:49,276,300,171
1215697190639,2008-07-10 13:39:50,275,299,176
1215697191654,2008-07-10 13:39:51,275,299,176
1215697192669,2008-07-10 13:39:52,275,299,176
1215697193685,2008-07-10 13:39:53,274,299,176
1215697194716,2008-07-10 13:39:54,275,299,176
1215697195733,2008-07-10 13:39:55,274,299,176
1215697196733,2008-07-10 13:39:56,274,299,176
1215697197747,2008-07-10 13:39:57,274,299,176
1215697198747,2008-07-10 13:39:58,275,299,176
1215697199763,2008-07-10 13:39:59,275,299,176
1215697200764,2008-07-10 13:40:00,274,299,176
1215697201779,2008-07-10 13:40:01,274,299,176
1215697202780,2008-07-10 13:40:02,275,299,176
1215697203794,2008-07-10 13:40:03,275,299,176
1215697204811,2008-07-10 13:40:04,274,299,176
1215697205811,2008-07-10 13:40:05,275,299,176
1215697206825,2008-07-10 13:40:06,274,299,176
1215697207826,2008-07-10 13:40:07,275,299,176
1215697208826,2008-07-10 13:40:08,275,299,176
1215697209826,2008-07-10 13:40:09,275,299,176
1215697210842,2008-07-10 13:40:10,274,299,176
1215697211858,2008-07-10 13:40:11,275,299,176
1215697212858,2008-07-10 13:40:12,275,299,176
1215697213858,2008-07-10 13:40:13,278,307,179
1215697214888,2008-07-10 13:40:14,293,303,182
1215697215904,2008-07-10 13:40:15,304,328,202
1215697216904,2008-07-10 13:40:16,279,340,200
1215697217905,2008-07-10 13:40:17,283,336,195
1215697218920,2008-07-10 13:40:18,294,350,228
1215697219936,2008-07-10 13:40:19,300,333,268
1215697220936,2008-07-10 13:40:20,293,316,280
1215697221950,2008-07-10 13:40:21,285,328,195
1215697222967,2008-07-10 13:40:22,295,316,188
1215697223986,2008-07-10 13:40:23,318,311,228
1215697224986,2008-07-10 13:40:24,315,338,251
1215697225998,2008-07-10 13:40:25,265,329,277
1215697227014,2008-07-10 13:40:27,277,347,255
1215697228014,2008-07-10 13:40:28,,,,
1215697229014,2008-07-10 13:40:29,312,339,236
1215697230029,2008-07-10 13:40:30,323,313,240
1215697231029,2008-07-10 13:40:31,340,288,228
1215697232045,2008-07-10 13:40:32,325,278,241
1215697233060,2008-07-10 13:40:33,,,,
1215697234076,2008-07-10 13:40:34,327,281,231
1215697235092,2008-07-10 13:40:35,328,278,233
1215697236108,2008-07-10 13:40:36,327,281,239
1215697237108,2008-07-10 13:40:37,328,283,234
1215697238123,2008-07-10 13:40:38,327,281,234
1215697239139,2008-07-10 13:40:39,327,280,235
1215697240155,2008-07-10 13:40:40,327,282,236
1215697241155,2008-07-10 13:40:41,327,281,234
1215697242155,2008-07-10 13:40:42,327,281,234
1215697243155,2008-07-10 13:40:43,327,282,233
1215697244170,2008-07-10 13:40:44,326,281,226
1215697245170,2008-07-10 13:40:45,330,282,236
1215697246186,2008-07-10 13:40:46,325,275,237
1215697247311,2008-07-10 13:40:47,325,275,236
1215697248311,2008-07-10 13:40:48,325,277,240
1215697249311,2008-07-10 13:40:49,326,278,241
1215697250311,2008-07-10 13:40:50,326,278,240
1215697251311,2008-07-10 13:40:51,326,278,240
1215697252311,2008-07-10 13:40:52,326,278,240
1215697253311,2008-07-10 13:40:53,325,277,239
1215697254326,2008-07-10 13:40:54,326,277,231
1215697255342,2008-07-10 13:40:55,326,279,233
1215697256405,2008-07-10 13:40:56,328,283,231
1215697257405,2008-07-10 13:40:57,328,284,234
1215697258406,2008-07-10 13:40:58,328,285,229
1215697259436,2008-07-10 13:40:59,328,285,229
1215697260436,2008-07-10 13:41:00,328,284,234
1215697261437,2008-07-10 13:41:01,328,284,235
1215697262467,2008-07-10 13:41:02,328,284,235
1215697263468,2008-07-10 13:41:03,328,285,235
1215697264468,2008-07-10 13:41:04,328,286,233
1215697265483,2008-07-10 13:41:05,326,285,233
1215697266483,2008-07-10 13:41:06,327,281,242
1215697267483,2008-07-10 13:41:07,327,282,241
1215697268483,2008-07-10 13:41:08,328,285,241
1215697269483,2008-07-10 13:41:09,328,286,241
1215697270483,2008-07-10 13:41:10,327,284,243
1215697271498,2008-07-10 13:41:11,328,284,242
1215697272514,2008-07-10 13:41:12,328,285,242
1215697273515,2008-07-10 13:41:13,327,285,242
1215697274530,2008-07-10 13:41:14,327,283,243
1215697275533,2008-07-10 13:41:15,327,283,244
1215697276562,2008-07-10 13:41:16,327,284,243
1215697277593,2008-07-10 13:41:17,327,284,244
1215697278593,2008-07-10 13:41:18,327,283,245
1215697279608,2008-07-10 13:41:19,327,283,244
1215697280609,2008-07-10 13:41:20,328,287,242
1215697281623,2008-07-10 13:41:21,328,287,239
1215697282623,2008-07-10 13:41:22,328,286,236
1215697283623,2008-07-10 13:41:23,326,280,244
1215697284623,2008-07-10 13:41:24,327,281,238
1215697285624,2008-07-10 13:41:25,326,279,238
1215697286639,2008-07-10 13:41:26,326,279,238
1215697287639,2008-07-10 13:41:27,327,280,237
1215697288640,2008-07-10 13:41:28,325,283,235
1215697289655,2008-07-10 13:41:29,331,283,239
1215697290655,2008-07-10 13:41:30,335,282,242
1215697291656,2008-07-10 13:41:31,347,276,233
1215697292656,2008-07-10 13:41:32,348,273,232
1215697293671,2008-07-10 13:41:33,345,274,233
1215697294691,2008-07-10 13:41:34,346,274,229
1215697295706,2008-07-10 13:41:35,294,267,224
1215697296748,2008-07-10 13:41:36,,,,
1215697297764,2008-07-10 13:41:37,327,283,229
1215697298769,2008-07-10 13:41:38,328,287,229
1215697299781,2008-07-10 13:41:39,329,289,237
1215697300781,2008-07-10 13:41:40,329,290,236
1215697301811,2008-07-10 13:41:41,331,287,234
1215697302812,2008-07-10 13:41:42,328,284,241
1215697303812,2008-07-10 13:41:43,327,281,242
1215697304812,2008-07-10 13:41:44,326,282,242
1215697305827,2008-07-10 13:41:45,327,282,242
1215697306827,2008-07-10 13:41:46,323,277,248
1215697307827,2008-07-10 13:41:47,328,283,240
1215697308827,2008-07-10 13:41:48,330,289,247
1215697309827,2008-07-10 13:41:49,330,280,236
1215697310827,2008-07-10 13:41:50,323,279,234
1215697311827,2008-07-10 13:41:51,330,273,241
1215697312842,2008-07-10 13:41:52,333,267,229
1215697313842,2008-07-10 13:41:53,342,275,235
1215697314843,2008-07-10 13:41:54,335,276,234
1215697315843,2008-07-10 13:41:55,331,274,233
1215697316859,2008-07-10 13:41:56,332,272,233
1215697317859,2008-07-10 13:41:57,308,285,244
1215697318859,2008-07-10 13:41:58,334,293,244
1215697319862,2008-07-10 13:41:59,328,290,244
1215697320862,2008-07-10 13:42:00,328,289,244
1215697321890,2008-07-10 13:42:01,328,290,245
1215697322905,2008-07-10 13:42:02,328,287,243
1215697323906,2008-07-10 13:42:03,328,287,240
1215697324936,2008-07-10 13:42:04,328,287,240
1215697325937,2008-07-10 13:42:05,328,290,243
1215697326941,2008-07-10 13:42:06,329,288,241
1215697327941,2008-07-10 13:42:07,328,287,232
1215697328952,2008-07-10 13:42:08,328,286,234
1215697329968,2008-07-10 13:42:09,327,280,235
1215697330968,2008-07-10 13:42:10,329,286,226
1215697331968,2008-07-10 13:42:11,327,291,229
1215697332968,2008-07-10 13:42:12,330,289,239
1215697333968,2008-07-10 13:42:13,329,284,234
1215697334968,2008-07-10 13:42:14,327,282,237
1215697335968,2008-07-10 13:42:15,,,,
1215697336968,2008-07-10 13:42:16,329,289,236
1215697337968,2008-07-10 13:42:17,329,288,235
1215697338968,2008-07-10 13:42:18,329,289,235
1215697339984,2008-07-10 13:42:19,329,287,234
1215697340984,2008-07-10 13:42:20,329,288,234
1215697341984,2008-07-10 13:42:21,329,288,234
1215697342999,2008-07-10 13:42:22,329,287,234
1215697344005,2008-07-10 13:42:24,329,288,234
1215697345031,2008-07-10 13:42:25,329,288,235
1215697346031,2008-07-10 13:42:26,329,288,234
1215697347031,2008-07-10 13:42:27,329,288,234
1215697348031,2008-07-10 13:42:28,329,289,235
1215697349046,2008-07-10 13:42:29,329,288,235
1215697350046,2008-07-10 13:42:30,329,288,235
1215697351046,2008-07-10 13:42:31,329,288,235
1215697352047,2008-07-10 13:42:32,329,288,235
1215697353062,2008-07-10 13:42:33,329,288,235
1215697354062,2008-07-10 13:42:34,329,288,235
1215697355063,2008-07-10 13:42:35,329,288,235
1215697356063,2008-07-10 13:42:36,329,287,236
1215697357081,2008-07-10 13:42:37,329,288,235
1215697358081,2008-07-10 13:42:38,329,288,235
1215697359085,2008-07-10 13:42:39,329,288,235
1215697360094,2008-07-10 13:42:40,329,287,234
1215697361094,2008-07-10 13:42:41,329,288,234
1215697362097,2008-07-10 13:42:42,329,287,233
1215697363097,2008-07-10 13:42:43,329,288,235
1215697364109,2008-07-10 13:42:44,329,288,234
1215697365109,2008-07-10 13:42:45,324,294,232
1215697366109,2008-07-10 13:42:46,328,282,237
1215697367110,2008-07-10 13:42:47,328,283,240
1215697368140,2008-07-10 13:42:48,329,289,237
1215697369141,2008-07-10 13:42:49,329,288,237
1215697370156,2008-07-10 13:42:50,329,288,237
1215697371157,2008-07-10 13:42:51,329,287,237
1215697372157,2008-07-10 13:42:52,328,287,238
1215697373171,2008-07-10 13:42:53,329,287,237
1215697374176,2008-07-10 13:42:54,329,290,237
1215697375187,2008-07-10 13:42:55,329,289,237
1215697376187,2008-07-10 13:42:56,329,289,237
1215697377204,2008-07-10 13:42:57,329,289,237
1215697378218,2008-07-10 13:42:58,329,289,237
1215697379219,2008-07-10 13:42:59,329,289,237
1215697380224,2008-07-10 13:43:00,329,288,236
1215697381234,2008-07-10 13:43:01,329,289,236
1215697382250,2008-07-10 13:43:02,329,289,236
1215697383265,2008-07-10 13:43:03,329,288,236
1215697384265,2008-07-10 13:43:04,329,288,236
1215697385282,2008-07-10 13:43:05,328,286,241
1215697386296,2008-07-10 13:43:06,330,291,238
1215697387296,2008-07-10 13:43:07,332,289,236
1215697388296,2008-07-10 13:43:08,329,282,241
1215697389297,2008-07-10 13:43:09,326,281,247
1215697390297,2008-07-10 13:43:10,329,290,241
1215697391311,2008-07-10 13:43:11,329,288,241
1215697392315,2008-07-10 13:43:12,329,289,241
1215697393328,2008-07-10 13:43:13,329,288,239
1215697394328,2008-07-10 13:43:14,329,288,239
1215697395343,2008-07-10 13:43:15,329,288,239
1215697396343,2008-07-10 13:43:16,329,288,239
1215697397344,2008-07-10 13:43:17,329,288,238
1215697398344,2008-07-10 13:43:18,329,287,238
1215697399359,2008-07-10 13:43:19,329,288,239
1215697400360,2008-07-10 13:43:20,329,289,240
1215697401360,2008-07-10 13:43:21,329,291,239
1215697402374,2008-07-10 13:43:22,329,290,239
1215697403374,2008-07-10 13:43:23,329,290,239
1215697404374,2008-07-10 13:43:24,329,290,240
1215697405375,2008-07-10 13:43:25,329,290,240
1215697406375,2008-07-10 13:43:26,329,290,240
1215697407375,2008-07-10 13:43:27,329,291,240
1215697408390,2008-07-10 13:43:28,329,290,240
1215697409391,2008-07-10 13:43:29,329,290,240
1215697410391,2008-07-10 13:43:30,329,290,239
1215697411406,2008-07-10 13:43:31,329,290,239
1215697412407,2008-07-10 13:43:32,329,290,240
1215697413407,2008-07-10 13:43:33,329,290,240
1215697414407,2008-07-10 13:43:34,329,290,240
1215697415407,2008-07-10 13:43:35,329,290,240
1215697416407,2008-07-10 13:43:36,329,290,241
1215697417407,2008-07-10 13:43:37,329,290,241
1215697418407,2008-07-10 13:43:38,329,290,240
1215697419421,2008-07-10 13:43:39,329,290,240
1215697420422,2008-07-10 13:43:40,332,283,236
1215697421422,2008-07-10 13:43:41,328,283,237
1215697422422,2008-07-10 13:43:42,328,283,236
1215697423422,2008-07-10 13:43:43,328,283,236
1215697424435,2008-07-10 13:43:44,328,284,236
1215697425438,2008-07-10 13:43:45,328,283,237
1215697426438,2008-07-10 13:43:46,328,288,242
1215697427438,2008-07-10 13:43:47,326,278,244
1215697428438,2008-07-10 13:43:48,,,,
1215697429438,2008-07-10 13:43:49,,,,
1215697430439,2008-07-10 13:43:50,,,,
1215697431453,2008-07-10 13:43:51,,,,
1215697432453,2008-07-10 13:43:52,,,,
1215697433453,2008-07-10 13:43:53,,,,
1215697434453,2008-07-10 13:43:54,,,,
1215697435453,2008-07-10 13:43:55,,,,
1215697436453,2008-07-10 13:43:56,,,,
1215697437453,2008-07-10 13:43:57,,,,
1215697438453,2008-07-10 13:43:58,,,,
1215697439453,2008-07-10 13:43:59,,,,
1215697440453,2008-07-10 13:44:00,,,,
1215697441453,2008-07-10 13:44:01,,,,
1215697442453,2008-07-10 13:44:02,330,285,234
1215697443462,2008-07-10 13:44:03,,,,
1215697444469,2008-07-10 13:44:04,328,285,238
1215697445469,2008-07-10 13:44:05,328,289,230
1215697446484,2008-07-10 13:44:06,330,288,235
1215697447486,2008-07-10 13:44:07,328,285,240
1215697448486,2008-07-10 13:44:08,327,283,242
1215697449493,2008-07-10 13:44:09,327,282,242
1215697450500,2008-07-10 13:44:10,326,278,242
1215697451500,2008-07-10 13:44:11,326,278,243
1215697452509,2008-07-10 13:44:12,326,278,243
1215697453516,2008-07-10 13:44:13,326,278,243
1215697454516,2008-07-10 13:44:14,328,286,238
1215697455516,2008-07-10 13:44:15,328,285,238
1215697456516,2008-07-10 13:44:16,328,286,237
1215697457516,2008-07-10 13:44:17,327,287,233
1215697458516,2008-07-10 13:44:18,329,279,236
1215697459516,2008-07-10 13:44:19,327,281,238
1215697460516,2008-07-10 13:44:20,327,281,237
1215697461516,2008-07-10 13:44:21,328,283,237
1215697462516,2008-07-10 13:44:22,328,283,238
1215697463517,2008-07-10 13:44:23,328,282,238
1215697464532,2008-07-10 13:44:24,328,282,239
1215697465533,2008-07-10 13:44:25,328,283,238
1215697466547,2008-07-10 13:44:26,328,283,238
1215697467547,2008-07-10 13:44:27,328,283,239
1215697468548,2008-07-10 13:44:28,328,283,238
1215697469548,2008-07-10 13:44:29,328,283,238
1215697470563,2008-07-10 13:44:30,328,282,235
1215697471563,2008-07-10 13:44:31,329,284,234
1215697472564,2008-07-10 13:44:32,328,284,233
1215697473573,2008-07-10 13:44:33,328,284,233
1215697474578,2008-07-10 13:44:34,328,284,233
1215697475579,2008-07-10 13:44:35,328,284,233
1215697476594,2008-07-10 13:44:36,328,284,234
1215697477594,2008-07-10 13:44:37,328,284,238
1215697478594,2008-07-10 13:44:38,328,284,239
1215697479594,2008-07-10 13:44:39,328,284,239
1215697480599,2008-07-10 13:44:40,328,284,239
1215697481611,2008-07-10 13:44:41,328,284,239
1215697482611,2008-07-10 13:44:42,329,285,239
1215697483625,2008-07-10 13:44:43,330,290,231
1215697484625,2008-07-10 13:44:44,331,283,236
1215697485626,2008-07-10 13:44:45,329,289,240
1215697486641,2008-07-10 13:44:46,330,287,240
1215697487641,2008-07-10 13:44:47,342,281,229
1215697488642,2008-07-10 13:44:48,330,285,234
1215697489657,2008-07-10 13:44:49,334,285,236
1215697490657,2008-07-10 13:44:50,325,281,248
1215697491657,2008-07-10 13:44:51,333,290,238
1215697492657,2008-07-10 13:44:52,328,277,229
1215697493658,2008-07-10 13:44:53,324,277,227
1215697494658,2008-07-10 13:44:54,329,281,230
1215697495672,2008-07-10 13:44:55,326,277,231
1215697496682,2008-07-10 13:44:56,328,283,239
1215697497689,2008-07-10 13:44:57,328,287,247
1215697498703,2008-07-10 13:44:58,329,290,245
1215697499704,2008-07-10 13:44:59,329,288,244
1215697500704,2008-07-10 13:45:00,329,290,245
1215697501719,2008-07-10 13:45:01,328,290,244
1215697502719,2008-07-10 13:45:02,329,290,245
1215697503719,2008-07-10 13:45:03,329,290,245
1215697504720,2008-07-10 13:45:04,328,290,245
1215697505720,2008-07-10 13:45:05,329,290,245
1215697506720,2008-07-10 13:45:06,328,290,245
1215697507720,2008-07-10 13:45:07,328,290,245
1215697508735,2008-07-10 13:45:08,328,290,245
1215697509736,2008-07-10 13:45:09,328,290,245
1215697510750,2008-07-10 13:45:10,328,289,245
1215697511751,2008-07-10 13:45:11,329,290,245
1215697512751,2008-07-10 13:45:12,328,289,245
1215697513751,2008-07-10 13:45:13,329,290,245
1215697514751,2008-07-10 13:45:14,322,300,266
1215697515756,2008-07-10 13:45:15,305,299,283
1215697516768,2008-07-10 13:45:16,313,301,277
1215697517783,2008-07-10 13:45:17,313,299,276
1215697518783,2008-07-10 13:45:18,314,299,276
1215697519783,2008-07-10 13:45:19,313,298,276
1215697520783,2008-07-10 13:45:20,313,298,277
1215697521783,2008-07-10 13:45:21,313,298,277
1215697522783,2008-07-10 13:45:22,314,298,276
1215697523783,2008-07-10 13:45:23,313,299,276
1215697524783,2008-07-10 13:45:24,314,299,276
1215697525783,2008-07-10 13:45:25,314,298,276
1215697526783,2008-07-10 13:45:26,314,299,276
1215697527783,2008-07-10 13:45:27,314,300,276
1215697528783,2008-07-10 13:45:28,314,302,276
1215697529783,2008-07-10 13:45:29,318,307,269
1215697530783,2008-07-10 13:45:30,327,300,257
1215697531783,2008-07-10 13:45:31,323,303,263
1215697532783,2008-07-10 13:45:32,323,302,262
1215697533783,2008-07-10 13:45:33,323,303,262
1215697534784,2008-07-10 13:45:34,324,302,261
1215697535798,2008-07-10 13:45:35,324,302,263
1215697536798,2008-07-10 13:45:36,323,300,261
1215697537798,2008-07-10 13:45:37,325,298,258
1215697538798,2008-07-10 13:45:38,326,298,257
1215697539798,2008-07-10 13:45:39,326,296,256
1215697540814,2008-07-10 13:45:40,326,297,256
1215697541814,2008-07-10 13:45:41,326,297,255
1215697542814,2008-07-10 13:45:42,326,297,255
1215697543814,2008-07-10 13:45:43,326,297,255
1215697544829,2008-07-10 13:45:44,327,297,255
1215697545829,2008-07-10 13:45:45,327,297,252
1215697546829,2008-07-10 13:45:46,328,297,252
1215697547829,2008-07-10 13:45:47,327,297,252
1215697548829,2008-07-10 13:45:48,327,297,252
1215697549846,2008-07-10 13:45:49,327,298,252
1215697550861,2008-07-10 13:45:50,327,297,252
